date,card_id,name,supertype,decks,wins,copies,day_decks
2026-07-08,164,Comfey,Pokémon,411,178,1644,10394
2026-07-08,689,Yveltal,Pokémon,659,345,881,10394
2026-07-08,343,Shaymin,Pokémon,1482,706,1489,10394
2026-07-08,1152,Poké Pad,Trainer,8706,4303,34515,10394
2026-07-08,1086,Buddy-Buddy Poffin,Trainer,8683,4342,33984,10394
2026-07-08,1097,Night Stretcher,Trainer,7662,3757,18722,10394
2026-07-08,1122,Pokégear 3.0,Trainer,2542,1286,8787,10394
2026-07-08,1120,Crushing Hammer,Trainer,1380,697,4432,10394
2026-07-08,1161,Handheld Fan,Trainer,1309,627,2168,10394
2026-07-08,1227,Lillie's Determination,Trainer,6785,3431,26996,10394
2026-07-08,1182,Boss’s Orders,Trainer,8724,4312,22883,10394
2026-07-08,1194,Colress’s Tenacity,Trainer,581,293,1686,10394
2026-07-08,1228,Acerola's Mischief,Trainer,309,140,1188,10394
2026-07-08,1197,Xerosic’s Machinations,Trainer,6271,3194,10908,10394
2026-07-08,1247,Neutralization Zone,Trainer,720,342,720,10394
2026-07-08,5,Basic {P} Energy,Energy,4309,2077,11905,10394
2026-07-08,19,Telepath Psychic Energy,Energy,3703,1765,14803,10394
2026-07-08,16,Prism Energy,Energy,1010,517,3918,10394
2026-07-08,13,Enriching Energy,Energy,3314,1599,3314,10394
2026-07-08,66,Dudunsparce,Pokémon,4351,2147,12432,10394
2026-07-08,305,Dunsparce,Pokémon,3779,1897,12867,10394
2026-07-08,741,Abra,Pokémon,3288,1585,13152,10394
2026-07-08,742,Kadabra,Pokémon,3288,1585,13152,10394
2026-07-08,743,Alakazam,Pokémon,3288,1585,12691,10394
2026-07-08,1079,Rare Candy,Trainer,5292,2553,18439,10394
2026-07-08,1081,Enhanced Hammer,Trainer,3488,1664,12365,10394
2026-07-08,1129,Sacred Ash,Trainer,3337,1608,3703,10394
2026-07-08,1184,Lana’s Aid,Trainer,3280,1582,3408,10394
2026-07-08,1225,Hilda,Trainer,5827,2947,20524,10394
2026-07-08,1231,Dawn,Trainer,4926,2393,17166,10394
2026-07-08,1264,Battle Cage,Trainer,3375,1621,5139,10394
2026-07-08,1,Basic {G} Energy,Energy,1798,946,8423,10394
2026-07-08,3,Basic {W} Energy,Energy,1493,822,8057,10394
2026-07-08,6,Basic {F} Energy,Energy,2334,1223,14047,10394
2026-07-08,7,Basic {D} Energy,Energy,2341,1168,19724,10394
2026-07-08,18,Grow Grass Energy,Energy,1349,704,4732,10394
2026-07-08,112,Munkidori,Pokémon,2560,1261,8557,10394
2026-07-08,117,Cornerstone Mask Ogerpon ex,Pokémon,736,353,1074,10394
2026-07-08,344,Dwebble,Pokémon,1364,709,4721,10394
2026-07-08,345,Crustle,Pokémon,1364,709,4712,10394
2026-07-08,414,Team Rocket's Articuno,Pokémon,710,384,1211,10394
2026-07-08,1147,Jumbo Ice Cream,Trainer,1516,770,5830,10394
2026-07-08,1159,Hero’s Cape,Trainer,3584,1876,3584,10394
2026-07-08,1198,Crispin,Trainer,942,499,3459,10394
2026-07-08,1210,Brock’s Scouting,Trainer,333,185,1330,10394
2026-07-08,1236,Urbain,Trainer,332,185,1328,10394
2026-07-08,11,Mist Energy,Energy,1102,558,4408,10394
2026-07-08,14,Spiky Energy,Energy,1086,552,4275,10394
2026-07-08,756,Mega Kangaskhan ex,Pokémon,1169,616,4602,10394
2026-07-08,1087,Hand Trimmer,Trainer,780,410,803,10394
2026-07-08,1121,Ultra Ball,Trainer,2851,1508,7178,10394
2026-07-08,1123,Switch,Trainer,1405,685,3086,10394
2026-07-08,1186,Eri,Trainer,1105,568,1906,10394
2026-07-08,1204,Lisia’s Appeal,Trainer,549,299,564,10394
2026-07-08,1219,Team Rocket's Petrel,Trainer,1562,737,5886,10394
2026-07-08,1242,Community Center,Trainer,663,362,663,10394
2026-07-08,1257,Team Rocket's Factory,Trainer,784,427,1024,10394
2026-07-08,65,Dunsparce,Pokémon,616,262,2234,10394
