agent,games,wins,date
213tubo,39,24,2026-07-08
5.5,71,27,2026-07-08
Abhyuday,57,19,2026-07-08
AdrianWang2003,3,1,2026-07-08
Ajishio,50,21,2026-07-08
Akira-Ninth,79,28,2026-07-08
Alberto Bonsanto,28,14,2026-07-08
Amane Suzuki,1,0,2026-07-08
Atomu Naka,1,1,2026-07-08
Ayodeji,3,2,2026-07-08
Banjo,45,16,2026-07-08
Bata09,8,5,2026-07-08
Blu3s,1,0,2026-07-08
BluezLee,7,2,2026-07-08
Boss's Orders Are All You Need,40,21,2026-07-08
Bozo Boys,172,78,2026-07-08
Budew,4,1,2026-07-08
Bulba-Zero,4,1,2026-07-08
CCoffie,1,1,2026-07-08
CardPilotLab,2,1,2026-07-08
Dũng Đỗ,129,68,2026-07-08
Ebi,1,1,2026-07-08
Eduardo Rocha de Andrade,23,7,2026-07-08
Gotem Penguin,48,22,2026-07-08
Gyoukou,2,0,2026-07-08
Hase2727,72,30,2026-07-08
ImANoob1122,39,16,2026-07-08
Jiachen Li,1,1,2026-07-08
Kento Umeda,14,3,2026-07-08
Ketchum Alt,10,4,2026-07-08
Klein Houmani,28,10,2026-07-08
Kohenyan,8,2,2026-07-08
LiamK,500,260,2026-07-08
LumenLiquidity,1,0,2026-07-08
MPGaming,93,38,2026-07-08
MR.h,14,5,2026-07-08
Majkel1337,661,397,2026-07-08
Marshall Maximizer,24,10,2026-07-08
Mateusz Pawełczuk,1,0,2026-07-08
Michael Long,240,125,2026-07-08
Mikhail Breikin,8,3,2026-07-08
Moegi,12,5,2026-07-08
MtN,1,0,2026-07-08
Mykhailo Kalus,25,13,2026-07-08
Niche,3,1,2026-07-08
NoOne,28,12,2026-07-08
NukoNiko15,1,1,2026-07-08
Oleksandr_Savsunenko,24,6,2026-07-08
OsElCoUn,40,18,2026-07-08
Oshbocker,1,0,2026-07-08
Pavel Pavlov,1,0,2026-07-08
Peng Wang,8,2,2026-07-08
Pixegami,4,3,2026-07-08
Pokemon Siuuuu,1,0,2026-07-08
Pokemon001,1,0,2026-07-08
Pokkén,2,1,2026-07-08
Praxel,1,0,2026-07-08
RK,7,4,2026-07-08
Rafael G,1,0,2026-07-08
Raihan Ramadistra,197,111,2026-07-08
Rmy,318,146,2026-07-08
SantaClaws,3,2,2026-07-08
Sergei Fironov,2,2,2026-07-08
Shardul Gharat,17,3,2026-07-08
Shota Hirao,12,3,2026-07-08
ShumpeiNomura,208,113,2026-07-08
Sota Uchiyama,140,58,2026-07-08
Star-mine,42,13,2026-07-08
THIRD PTCG Club,294,155,2026-07-08
Takaaki Matsuda,12,4,2026-07-08
Team_Rocket,2,0,2026-07-08
The Debauchery Tea Party,7,3,2026-07-08
Topdecking is All You Need,40,18,2026-07-08
Ushimaru,5,2,2026-07-08
Voyager,5,1,2026-07-08
WAKIYA,8,2,2026-07-08
WinDecks,349,201,2026-07-08
XIAODOUZI,8,2,2026-07-08
XP3RiX,15,7,2026-07-08
Xander,40,16,2026-07-08
XtraLearning,1,0,2026-07-08
YIN,11,5,2026-07-08
Yigit Kayali,8,3,2026-07-08
Yudai Ueno,26,9,2026-07-08
Yufeng,14,5,2026-07-08
Yushin Ito,644,395,2026-07-08
ZETADIVISION,112,53,2026-07-08
aaa,287,141,2026-07-08
aidy,12,4,2026-07-08
apetresc,1,1,2026-07-08
bdif,3,1,2026-07-08
bono,561,299,2026-07-08
btk15049,211,87,2026-07-08
capbloo,207,113,2026-07-08
chamboabi,1,0,2026-07-08
djschmit,1,0,2026-07-08
e-toppo,2,1,2026-07-08
ei1333,6,3,2026-07-08
ezreal77,4,2,2026-07-08
firstbreak32,3,2,2026-07-08
fujiborozoukin,22,10,2026-07-08
genki toyama,10,3,2026-07-08
hamuhei,2,1,2026-07-08
hikaru_ishihara46,4,2,2026-07-08
hiro094,12,5,2026-07-08
hirune924,7,1,2026-07-08
hodumi,12,5,2026-07-08
hoshippi,6,2,2026-07-08
iwashi,30,10,2026-07-08
iwata hiroki,1,0,2026-07-08
jiatu.l,12,4,2026-07-08
jp_nerdery,2,1,2026-07-08
